20230506-123609(best_acc0.5640496021252372), lr:0.001, alpha:0.1,                   corr=0.5640496021252372(0.0015738213824042693) 
20230506-123859(best_acc0.5640496021252372), lr:0.001, alpha:0.5,                   corr=0.5627697808429002(0.0018788723662808385) 
20230506-124149(best_acc0.5640496021252372), lr:0.001, alpha:0.9,                   corr=0.5616805174175301(0.00498209323674411) 
20230506-124438(best_acc0.5643912395815638), lr:0.005, alpha:0.1,                   corr=0.5643912395815638(0.002139627621325614) 
20230506-124728(best_acc0.5643912395815638), lr:0.005, alpha:0.5,                   corr=0.5642973676157375(0.0013122334477180333) 
20230506-125018(best_acc0.5692392554306547), lr:0.005, alpha:0.9,                   corr=0.5692392554306547(0.0060807592033961634) 
20230506-125308(best_acc0.5692392554306547), lr:0.01, alpha:0.1,                   corr=0.5662771861619557(0.004107711265033838) 
20230506-125557(best_acc0.5692392554306547), lr:0.01, alpha:0.5,                   corr=0.5670711561875885(0.004712453414126864) 
20230506-125847(best_acc0.5692392554306547), lr:0.01, alpha:0.9,                   corr=0.5678547055077214(0.004576597685068453) 
20230506-130136(best_acc0.5874051477630777), lr:0.05, alpha:0.1,                   corr=0.5874051477630777(0.021016044868602132) 
20230506-130425(best_acc0.5874051477630777), lr:0.05, alpha:0.5,                   corr=0.5863624844771709(0.020587101420834347) 
20230506-130715(best_acc0.5874051477630777), lr:0.05, alpha:0.9,                   corr=0.5776315726611004(0.02128481239769484) 
