20230506-174843(best_acc0.7057658833148104), lr:0.001, alpha:0.1,                   corr=0.7057658833148104(0.0012548290208042906) 
20230506-175234(best_acc0.7057658833148104), lr:0.001, alpha:0.5,                   corr=0.703615487539824(0.0009388318111670678) 
20230506-175624(best_acc0.7057658833148104), lr:0.001, alpha:0.9,                   corr=0.7047453842554489(0.0008259958753515591) 
20230506-180014(best_acc0.7075421079051303), lr:0.005, alpha:0.1,                   corr=0.7075421079051303(0.0011931509956385887) 
20230506-180404(best_acc0.7075421079051303), lr:0.005, alpha:0.5,                   corr=0.7050951935400737(0.0006003884529733973) 
20230506-180754(best_acc0.7078102180988182), lr:0.005, alpha:0.9,                   corr=0.7078102180988182(0.0014009111652551255) 
20230506-181145(best_acc0.7078102180988182), lr:0.01, alpha:0.1,                   corr=0.7071466543572636(0.0014729345464670625) 
20230506-181535(best_acc0.7078102180988182), lr:0.01, alpha:0.5,                   corr=0.7067446170934124(0.0024816259614096857) 
20230506-181925(best_acc0.7078102180988182), lr:0.01, alpha:0.9,                   corr=0.7069854562304358(0.000883394177018779) 
20230506-182315(best_acc0.7078102180988182), lr:0.05, alpha:0.1,                   corr=0.7047215867165011(0.001727920521496015) 
20230506-182705(best_acc0.7078102180988182), lr:0.05, alpha:0.5,                   corr=0.7045135172689869(0.0030774824925275932) 
20230506-183055(best_acc0.7078102180988182), lr:0.05, alpha:0.9,                   corr=0.705793812286817(0.0014909979953368659) 
