20230506-153551(best_acc0.4298239655855019), lr:0.001, alpha:0.1,                   corr=0.4298239655855019(0.0020231059415494012) 
20230506-153732(best_acc0.4298239655855019), lr:0.001, alpha:0.5,                   corr=0.42834460635396543(0.002860918161069445) 
20230506-153913(best_acc0.4298239655855019), lr:0.001, alpha:0.9,                   corr=0.42874999827281235(0.0033860979318189673) 
20230506-154055(best_acc0.4556476735439306), lr:0.005, alpha:0.1,                   corr=0.4556476735439306(0.034822401512559165) 
20230506-154236(best_acc0.46163710624131626), lr:0.005, alpha:0.5,                   corr=0.46163710624131626(0.033246964332674774) 
20230506-154416(best_acc0.46163710624131626), lr:0.005, alpha:0.9,                   corr=0.43056534997365625(0.0034935192514287147) 
20230506-154556(best_acc0.46382060995235114), lr:0.01, alpha:0.1,                   corr=0.46382060995235114(0.038605809255828134) 
20230506-154738(best_acc0.4832688186401165), lr:0.01, alpha:0.5,                   corr=0.4832688186401165(0.033500926601787114) 
20230506-154919(best_acc0.4832688186401165), lr:0.01, alpha:0.9,                   corr=0.46848969968481613(0.037155086909318805) 
20230506-155100(best_acc0.5094068462090654), lr:0.05, alpha:0.1,                   corr=0.5094068462090654(0.004875114161583268) 
20230506-155242(best_acc0.5094068462090654), lr:0.05, alpha:0.5,                   corr=0.5071576172039489(0.005316632375861867) 
20230506-155422(best_acc0.5094068462090654), lr:0.05, alpha:0.9,                   corr=0.49047054633873977(0.031174983278414836) 
