"0,2-d","1,2-d","3,2-d","4,2-d","5,2-d"
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
7,2,0,0,0
8,2,0,0,0
7,2,0,0,0
7,2,0,0,0
7,2,0,0,0
7,2,0,0,0
17,4,3,0,0
26,8,3,0,0
20,5,3,0,0
25,7,0,0,0
0,0,0,0,0
16,5,0,0,0
0,0,0,0,0
5,1,0,0,0
8,3,3,0,0
8,3,3,0,0
8,3,3,0,0
5,1,0,0,0
7,3,3,0,0
7,3,3,0,0
6,3,3,0,0
0,0,0,0,0
10,4,3,0,0
16,4,3,0,0
16,4,3,0,0
20,7,6,9,0
20,7,6,9,0
12,3,0,0,0
17,7,6,9,0
22,8,6,9,0
19,6,6,9,0
19,6,6,9,0
22,8,6,9,0
19,6,6,9,0
19,6,6,9,0
0,0,0,0,0
3,0,0,0,0
7,3,3,0,0
7,3,3,0,0
7,3,3,0,0
15,6,6,9,0
16,6,6,9,0
15,6,6,9,0
16,6,6,9,0
15,6,6,9,0
16,6,6,9,0
1,0,0,0,0
1,0,0,0,0
16,6,6,9,0
15,6,6,9,0
16,6,6,9,0
21,6,6,9,0
18,6,6,9,0
18,6,6,9,0
12,3,3,0,0
12,3,3,0,0
12,3,3,0,0
21,6,6,9,0
21,6,6,9,0
18,6,6,9,0
8,3,3,0,0
8,3,3,0,0
6,3,3,0,0
0,0,0,0,0
0,0,0,0,0
4,0,0,0,0
7,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
0,0,0,0,0
7,3,3,0,0
7,3,3,0,0
6,3,3,0,0
18,7,3,0,0
12,3,3,0,0
12,3,3,0,0
5,1,0,0,0
5,1,0,0,0
8,3,3,0,0
8,3,3,0,0
8,3,3,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
6,2,0,0,0
8,3,0,0,0
6,2,0,0,0
6,1,0,0,0
4,0,0,0,0
13,1,0,0,0
33,9,9,27,19
30,9,9,27,19
31,9,9,27,19
30,9,9,27,19
14,0,0,0,0
33,9,9,27,19
34,9,9,27,19
33,9,9,27,19
13,1,0,0,0
31,9,9,27,19
30,9,9,27,19
31,9,9,27,19
0,0,0,0,0
8,2,0,0,0
12,5,0,0,0
11,3,0,0,0
15,6,6,9,0
15,6,6,9,0
15,6,6,9,0
2,0,0,0,0
25,6,0,0,0
2,0,0,0,0
21,4,0,0,0
0,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
27,9,6,0,0
23,6,3,0,0
29,10,6,9,0
32,13,9,9,0
28,9,6,9,0
25,7,6,9,0
21,6,6,9,0
24,7,6,9,0
2,1,0,0,0
2,1,0,0,0
24,3,3,0,0
20,3,3,0,0
19,3,3,0,0
5,0,0,0,0
10,0,0,0,0
5,0,0,0,0
0,0,0,0,0
4,1,0,0,0
4,1,0,0,0
4,1,0,0,0
5,1,0,0,0
0,0,0,0,0
8,3,0,0,0
5,2,0,0,0
6,2,0,0,0
0,0,0,0,0
6,2,0,0,0
8,4,3,0,0
8,4,3,0,0
7,3,3,0,0
0,0,0,0,0
2,1,0,0,0
18,6,6,9,0
18,6,6,9,0
15,6,6,9,0
0,0,0,0,0
20,5,3,0,0
28,7,0,0,0
18,3,0,0,0
30,9,3,0,0
18,3,3,0,0
28,7,3,0,0
33,10,9,27,19
32,9,9,27,19
35,11,9,27,19
32,9,9,27,19
33,10,9,27,19
36,12,9,27,19
33,10,9,27,19
35,11,9,27,19
32,9,9,27,19
35,11,9,27,19
26,8,3,0,0
28,10,6,9,0
24,7,6,9,0
22,5,0,0,0
27,9,6,9,0
0,0,0,0,0
2,1,0,0,0
2,1,0,0,0
15,6,6,9,0
16,6,6,9,0
15,6,6,9,0
16,6,6,9,0
15,6,6,9,0
16,6,6,9,0
2,1,0,0,0
0,0,0,0,0
2,0,0,0,0
2,0,0,0,0
2,0,0,0,0
24,6,6,9,0
26,8,6,9,0
24,6,6,9,0
20,8,6,9,0
18,6,6,9,0
15,4,0,0,0
16,5,0,0,0
20,8,6,9,0
9,1,0,0,0
0,0,0,0,0
4,1,0,0,0
4,2,0,0,0
0,0,0,0,0
17,4,3,0,0
18,6,3,0,0
15,3,0,0,0
10,0,0,0,0
16,3,3,0,0
17,6,6,0,0
15,4,3,0,0
15,4,3,0,0
15,4,3,0,0
15,4,3,0,0
3,0,0,0,0
17,2,0,0,0
10,1,0,0,0
18,3,0,0,0
8,3,3,0,0
8,3,3,0,0
6,3,3,0,0
4,0,0,0,0
0,0,0,0,0
10,0,0,0,0
6,3,3,0,0
6,3,3,0,0
6,3,3,0,0
0,0,0,0,0
8,3,3,0,0
5,0,0,0,0
30,8,3,0,0
30,8,3,0,0
27,7,6,9,0
33,10,6,9,0
33,10,6,9,0
30,8,3,0,0
30,8,3,0,0
36,12,9,18,0
36,12,9,18,0
27,7,6,9,0
30,8,3,0,0
42,18,18,18,0
33,10,6,9,0
30,8,3,0,0
33,10,6,9,0
30,8,3,0,0
27,7,6,9,0
27,7,6,9,0
33,10,6,9,0
30,8,3,0,0
36,12,9,18,0
27,7,6,9,0
27,7,6,9,0
30,8,3,0,0
33,10,6,9,0
1,0,0,0,0
5,1,0,0,0
10,2,0,0,0
15,6,3,0,0
12,4,3,0,0
13,4,0,0,0
14,5,3,0,0
