"0,2-d","1,2-d","3,2-d"
9,0,0
31,6,3
45,10,3
46,11,3
30,5,3
13,3,3
43,9,3
62,3,0
26,3,0
43,15,15
44,16,15
34,9,6
34,9,6
34,9,6
34,9,6
44,16,15
34,9,6
34,9,6
34,9,6
34,9,6
35,10,6
35,10,6
30,6,0
35,10,6
35,10,6
12,3,0
17,7,6
16,6,6
16,6,6
17,7,6
17,7,6
16,6,6
6,3,3
6,3,3
6,3,3
8,3,3
9,4,3
9,4,3
10,5,3
7,2,0
0,0,0
74,15,12
102,19,12
67,10,6
70,12,6
56,5,0
66,10,6
76,13,12
41,10,6
44,11,6
40,9,6
69,11,6
72,11,6
68,11,6
89,19,15
103,23,18
101,19,15
87,15,0
115,24,15
89,19,15
76,9,0
71,11,3
89,19,15
69,9,0
98,18,15
96,15,15
110,20,15
84,15,15
84,15,15
110,20,15
96,17,6
124,26,21
92,15,6
98,18,15
80,10,3
98,18,15
122,23,15
96,15,15
96,15,15
58,2,0
108,21,15
73,13,9
76,16,15
72,12,9
50,2,0
101,18,9
104,20,15
110,20,15
100,18,9
110,20,15
69,10,6
68,10,6
84,15,15
6,3,3
9,3,3
9,3,3
24,3,3
24,3,3
3,0,0
7,3,3
0,0,0
17,6,6
17,6,6
17,6,6
16,6,6
16,6,6
6,0,0
16,6,6
31,9,9
28,9,9
28,9,9
28,9,9
19,2,0
31,9,9
31,9,9
31,9,9
28,9,9
28,9,9
28,9,9
7,2,0
8,4,3
8,4,3
7,3,3
7,3,3
88,6,6
88,6,6
88,6,6
15,6,6
15,6,6
15,6,6
27,9,9
27,9,9
27,9,9
27,9,9
27,9,9
27,9,9
27,9,9
27,9,9
27,9,9
27,9,9
2,0,0
26,2,0
4,2,0
4,2,0
154,31,15
113,16,15
113,17,15
138,23,15
133,21,15
132,22,15
137,24,6
121,17,6
116,15,6
132,20,0
162,34,18
162,34,21
187,48,39
182,44,33
181,45,33
141,26,9
145,28,12
132,20,0
136,23,3
145,28,12
145,29,12
152,30,15
134,22,3
134,22,3
137,24,3
137,24,6
134,22,3
132,20,0
121,19,18
146,27,18
141,23,18
140,23,18
111,16,15
146,27,21
141,25,21
140,24,18
104,14,9
111,17,15
166,35,33
165,34,30
125,19,9
129,21,12
129,21,12
129,20,9
136,23,15
121,16,3
121,17,6
160,33,27
120,17,9
124,19,12
124,19,12
124,18,9
131,21,15
123,18,9
114,14,3
123,18,9
123,19,9
130,21,15
115,15,6
83,10,9
76,6,3
65,3,3
27,9,9
27,9,9
27,9,9
27,9,9
27,9,9
27,9,9
27,9,9
27,9,9
27,9,9
27,9,9
2,1,0
2,1,0
27,9,9
27,9,9
27,9,9
27,9,9
27,9,9
27,9,9
2,0,0
6,1,0
4,2,0
24,6,0
6,2,0
8,4,3
7,3,3
8,4,3
0,0,0
2,1,0
153,11,3
88,5,3
227,26,6
244,33,9
234,9,3
213,23,9
182,17,6
158,12,6
212,32,6
184,17,3
162,17,6
244,41,15
213,30,3
156,12,6
158,14,9
159,12,6
161,14,6
179,21,0
148,16,3
205,29,18
230,38,21
173,19,6
199,29,18
200,29,18
175,21,9
172,19,6
172,19,6
176,19,6
178,23,12
201,30,18
194,27,18
197,29,18
122,6,6
140,13,6
122,6,6
199,12,3
194,10,3
191,11,3
174,27,21
143,22,18
144,24,24
120,14,9
145,24,21
138,20,18
141,20,18
101,6,6
83,6,6
168,28,24
169,27,21
145,18,9
198,17,6
170,28,21
163,24,18
166,24,18
136,12,0
87,7,6
138,22,18
167,12,6
139,23,18
132,20,18
135,20,18
115,14,9
140,24,21
133,20,18
136,20,18
116,15,9
101,6,6
83,6,6
89,8,6
89,8,6
93,9,6
134,21,18
137,21,18
130,18,18
22,4,0
17,2,0
26,5,3
28,7,3
22,4,3
28,10,6
24,6,3
22,4,0
25,6,6
25,6,6
25,6,6
24,6,6
24,6,6
23,5,0
24,6,6
42,12,12
65,12,12
42,12,12
42,12,12
42,12,12
65,12,12
42,12,12
42,12,12
42,12,12
65,12,12
65,12,12
65,12,12
42,12,12
42,12,12
42,12,12
25,8,6
24,8,6
22,6,6
22,8,6
20,6,6
14,4,0
19,8,6
17,4,0
1,0,0
1,0,0
28,6,6
15,6,6
15,6,6
28,6,6
28,6,6
15,6,6
28,6,6
28,6,6
15,6,6
14,3,0
22,0,0
0,0,0
8,3,0
6,1,0
8,0,0
231,33,33
231,33,33
232,33,33
231,33,33
231,33,33
231,33,33
231,33,33
231,33,33
231,33,33
232,33,33
231,33,33
232,33,33
231,33,33
232,33,33
231,33,33
231,33,33
231,33,33
231,33,33
231,33,33
231,33,33
232,33,33
231,33,33
232,33,33
232,33,33
231,33,33
231,33,33
231,33,33
231,33,33
231,33,33
231,33,33
232,33,33
231,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
233,33,33
232,33,33
233,33,33
231,33,33
231,33,33
231,33,33
231,33,33
231,33,33
232,33,33
231,33,33
232,33,33
231,33,33
231,33,33
231,33,33
231,33,33
232,33,33
231,33,33
232,33,33
231,33,33
231,33,33
231,33,33
232,33,33
231,33,33
232,33,33
231,33,33
231,33,33
232,33,33
231,33,33
232,33,33
231,33,33
232,33,33
231,33,33
232,33,33
232,33,33
231,33,33
232,33,33
232,33,33
233,33,33
232,33,33
2,1,0
0,0,0
0,0,0
6,3,3
6,3,3
6,3,3
86,9,6
113,14,6
143,28,15
88,11,9
111,18,9
88,11,9
55,6,6
85,9,6
112,14,6
87,11,9
110,18,9
87,11,9
55,9,9
32,9,9
55,9,9
106,11,6
