"0,2-d","1,2-d","3,2-d"
0,0,0
6,3,3
6,3,3
6,3,3
0,0,0
0,0,0
59,13,6
43,6,6
43,6,6
31,6,6
31,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
0,0,0
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
0,0,0
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
9,0,0
8,1,0
9,2,0
11,4,3
10,3,3
9,2,0
11,4,3
15,6,6
15,6,6
15,6,6
0,0,0
0,0,0
16,5,0
10,2,0
10,2,0
19,7,6
19,7,6
19,7,6
18,6,6
18,6,6
18,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
0,0,0
9,3,0
11,5,3
10,4,3
11,5,3
8,3,0
7,2,0
0,0,0
6,3,3
6,3,3
6,3,3
6,3,3
0,0,0
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
15,6,6
0,0,0
0,0,0
6,3,0
6,3,0
6,3,0
6,3,0
0,0,0
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
78,0,0
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
232,33,33
45,0,0
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
133,24,24
