test_acc:0.9097, best_val_acc:0.8856
test_acc:0.8900, best_val_acc:0.9022
test_acc:0.8851, best_val_acc:0.8948
test_acc:0.8966, best_val_acc:0.8838
test_acc:0.8752, best_val_acc:0.8985
test_acc:0.8998, best_val_acc:0.9059
test_acc:0.9130, best_val_acc:0.8801
test_acc:0.8867, best_val_acc:0.9059
test_acc:0.8539, best_val_acc:0.8875
test_acc:0.8916, best_val_acc:0.9059
test_acc:0.8933, best_val_acc:0.9004
test_acc:0.9048, best_val_acc:0.9207
test_acc:0.8785, best_val_acc:0.8856
test_acc:0.9031, best_val_acc:0.8948
test_acc:0.8949, best_val_acc:0.8838
test_acc:0.8752, best_val_acc:0.9059
test_acc:0.9080, best_val_acc:0.8856
test_acc:0.8834, best_val_acc:0.8672
test_acc:0.8703, best_val_acc:0.8616
test_acc:0.8900, best_val_acc:0.8967
test_acc:0.8736, best_val_acc:0.9041
test_acc:0.8785, best_val_acc:0.9170
test_acc:0.8883, best_val_acc:0.8893
test_acc:0.8801, best_val_acc:0.9151
test_acc:0.8785, best_val_acc:0.8708
test_acc:0.8768, best_val_acc:0.8653
test_acc:0.8933, best_val_acc:0.8911
test_acc:0.8916, best_val_acc:0.9244
test_acc:0.8785, best_val_acc:0.9059
test_acc:0.8834, best_val_acc:0.8875
test_acc:0.9064, best_val_acc:0.8875
test_acc:0.8867, best_val_acc:0.8819
test_acc:0.8933, best_val_acc:0.8745
test_acc:0.8933, best_val_acc:0.9004
test_acc:0.9031, best_val_acc:0.8967
test_acc:0.8883, best_val_acc:0.8708
test_acc:0.8719, best_val_acc:0.8875
test_acc:0.9015, best_val_acc:0.8653
test_acc:0.8818, best_val_acc:0.9041
test_acc:0.8851, best_val_acc:0.8782
test_acc:0.8768, best_val_acc:0.8727
test_acc:0.8851, best_val_acc:0.9114
test_acc:0.8998, best_val_acc:0.8875
test_acc:0.8916, best_val_acc:0.9114
test_acc:0.8670, best_val_acc:0.8801
test_acc:0.8818, best_val_acc:0.9207
test_acc:0.8966, best_val_acc:0.9170
test_acc:0.8916, best_val_acc:0.8930
test_acc:0.8654, best_val_acc:0.8893
test_acc:0.8883, best_val_acc:0.8930
